id,course_id,skill_id
1,8,76
2,8,104
3,8,398
4,8,520
5,63,66
6,63,268
7,63,344
8,63,355
9,75,89
10,75,202
11,75,283
12,75,578
13,78,89
14,78,202
15,78,283
16,78,578
17,80,89
18,80,202
19,80,283
20,80,578
21,90,76
22,90,104
23,90,398
24,90,520
25,139,76
26,783,76
27,139,104
28,783,104
29,139,398
30,783,398
31,139,520
32,783,520
33,156,70
34,156,113
35,156,377
36,156,445
37,167,306
38,167,359
39,167,392
40,167,614
41,206,83
42,206,106
43,206,276
44,206,430
45,254,198
46,949,198
47,254,266
48,949,266
49,254,456
50,949,456
51,288,90
52,288,323
53,288,444
54,288,476
55,328,332
56,328,339
57,328,504
58,338,246
59,338,383
60,338,507
61,350,24
62,350,163
63,350,294
64,350,516
65,353,517
66,353,641
67,365,307
68,365,370
69,365,527
70,365,544
71,367,517
72,367,641
73,383,90
74,383,323
75,383,444
76,383,476
77,384,27
78,384,541
79,404,552
80,404,562
81,404,627
82,412,32
83,412,385
84,412,558
85,412,594
86,413,153
87,413,158
88,413,441
89,413,559
90,416,10
91,416,290
92,416,336
93,416,560
94,425,204
95,425,569
96,434,332
97,434,339
98,434,504
99,435,70
100,435,113
101,435,377
102,435,445
103,440,70
104,440,113
105,440,377
106,440,445
107,445,10
108,445,290
109,445,336
110,445,560
111,450,306
112,450,359
113,450,392
114,450,614
115,459,36
116,459,162
117,459,165
118,459,580
119,495,70
120,495,113
121,495,377
122,495,445
123,502,83
124,502,106
125,502,276
126,502,430
127,510,517
128,510,641
129,513,349
130,513,351
131,513,602
132,526,76
133,526,104
134,526,398
135,526,520
136,535,87
137,535,458
138,535,608
139,535,684
140,543,10
141,543,290
142,543,336
143,543,560
144,549,70
145,549,113
146,549,377
147,549,445
148,554,89
149,554,202
150,554,283
151,554,578
152,555,24
153,555,163
154,555,294
155,555,516
156,556,70
157,556,113
158,556,377
159,556,445
160,561,10
161,561,290
162,561,336
163,561,560
164,571,107
165,571,374
166,571,619
167,573,191
168,573,260
169,573,620
170,573,631
171,595,328
172,595,625
173,664,70
174,664,113
175,664,377
176,664,445
177,669,10
178,669,290
179,669,336
180,669,560
181,671,32
182,671,385
183,671,558
184,671,594
185,677,56
186,677,247
187,677,490
188,677,650
189,686,125
190,686,220
191,686,652
192,686,653
193,689,4
194,689,139
195,689,348
196,689,654
197,691,483
198,691,510
199,691,655
200,725,32
201,725,385
202,725,558
203,725,594
204,726,22
205,726,364
206,726,636
207,726,666
208,739,517
209,739,641
210,749,70
211,749,113
212,749,377
213,749,445
214,751,76
215,751,104
216,751,398
217,751,520
218,752,10
219,752,290
220,752,336
221,752,560
222,753,43
223,753,206
224,753,499
225,753,672
226,754,87
227,754,458
228,754,608
229,754,684
230,757,76
231,757,104
232,757,398
233,757,520
234,758,76
235,758,104
236,758,398
237,758,520
238,759,222
239,759,450
240,759,674
241,771,6
242,771,227
243,771,245
244,771,676
245,774,287
246,774,350
247,774,472
248,774,678
249,775,36
250,775,162
251,775,165
252,775,580
253,780,43
254,780,206
255,780,499
256,780,672
257,798,548
258,798,596
259,798,651
260,798,680
261,826,70
262,826,113
263,826,377
264,826,445
265,831,10
266,831,290
267,831,336
268,831,560
269,833,267
270,833,375
271,833,689
272,869,238
273,869,279
274,869,556
275,869,697
276,871,24
277,871,163
278,871,294
279,871,516
280,883,76
281,883,104
282,883,398
283,883,520
284,885,76
285,885,104
286,885,398
287,885,520
288,898,576
289,898,701
290,915,107
291,915,374
292,915,619
293,925,14
294,925,61
295,925,271
296,925,704
297,935,287
298,935,350
299,935,472
300,935,678
301,940,24
302,940,163
303,940,294
304,940,516
305,947,76
306,947,104
307,947,398
308,947,520
309,953,115
310,953,226
311,953,605
312,953,707
313,955,43
314,955,206
315,955,499
316,955,672
317,958,24
318,958,163
319,958,294
320,958,516
321,965,76
322,965,104
323,965,398
324,965,520
325,974,4
326,974,139
327,974,348
328,974,654
329,983,312
330,983,509
331,983,712
332,995,713
333,999,83
334,999,106
335,999,276
336,999,430
337,1002,24
338,1002,163
339,1002,294
340,1002,516
341,1005,31
342,1005,207
343,1005,214
344,1005,714
